inventor_id,name,country
fl:pa_ln:carmellino-1,Pasquale Carmellino,IT
fl:al_ln:penaforte-1,Alberto Penaforte,IT
fl:da_ln:nisiro-1,Daniela Nisiro,IT
fl:m._ln:parsio-1,M. David Parsio,US
fl:ch_ln:robert-8,Christophe Robert,FR
fl:lu_ln:sallet-1,Ludovic Sallet,FR
fl:ch_ln:notteau-1,Christophe Notteau,FR
fl:ma_ln:fogliati-1,Massimiliano Fogliati,IT
fl:sa_ln:marcarino-1,Sandro Marcarino,IT
fl:ra_ln:giovannini-1,Raffaella Giovannini,IT
fl:to_ln:hasegawa-39,Toshiaki Hasegawa,JP
fl:go_ln:tazaki-1,Go Tazaki,UNKNOWN
fl:hi_ln:suzuki-87,Hideaki Suzuki,JP
fl:jo_ln:robinson-29,John W. Robinson,US
fl:ts_ln:yang-98,Tsungying Yang,CN
fl:da_ln:liu-118,Dandan Liu,CN
fl:ha_ln:sun-101,Haiyan Sun,CN
fl:de_ln:li-133,Dejiun Li,CN
fl:je_ln:horning-2,Jeromy D. Horning,US
fl:ma_ln:jungklaus-2,Matthew W. Jungklaus,US
fl:st_ln:wrobel-2,Steven J. Wrobel,US
fl:mi_ln:defillipi-1,Michael DeFillipi,US
fl:di_ln:elbracht-2,Dirk Elbracht,DE
fl:jo_ln:rodriguez-38,Jorge M. Rodriguez,US
fl:je_ln:bradway-1,Jeffrey J. Bradway,US
fl:ti_ln:clark-5,Timothy J. Clark,US
fl:gr_ln:anderson-12,Gregory B. Anderson,US
fl:ti_ln:stowe-3,Timothy Stowe,US
fl:sa_ln:badesha-1,Santokh S. Badesha,US
fl:ma_ln:kanungo-1,Mandakini Kanungo,US
fl:br_ln:gentle-1,Brian Joseph Gentle,US
fl:gl_ln:caron-1,Glen Roger Caron,US
fl:gu_ln:peter-3,Gunter Peter,DE
fl:jo_ln:seefeld-1,Jorg Seefeld,DE
fl:uw_ln:becker-2,Uwe Becker,DE
fl:lu_ln:halbach-1,Lutz Halbach,DE
fl:fr_ln:schumann-2,Frank Schumann,DE
fl:ch_ln:ziegenbalg-1,Christian Ziegenbalg,DE
fl:st_ln:ehrhardt-4,Stephan Ehrhardt,DE
fl:ma_ln:mantani-1,Masayuki Mantani,JP
fl:se_ln:kuroda-2,Seiya Kuroda,JP
fl:or_ln:perets-1,Oren Perets,IL
fl:ya_ln:shemesh-1,Yair Shemesh,IL
fl:ma_ln:isalcortes-1,Marc Isal Cortes,ES
fl:to_ln:yamada-83,Tomokazu Yamada,JP
fl:yo_ln:kondo-49,Yoichiro Kondo,JP
fl:sh_ln:tomimatsu-4,Shingo TOMIMATSU,JP
fl:yo_ln:naganuma-5,Yoichi Naganuma,JP
fl:sh_ln:watanabe-88,Shunsuke Watanabe,JP
fl:mo_ln:takabe-1,Motoki Takabe,JP
fl:ei_ln:hirai-4,Eiju Hirai,JP
fl:ma_ln:nakayama-43,Masao Nakayama,JP
fl:yo_ln:hokari-1,Yoshihiro Hokari,JP
fl:ta_ln:saito-53,Takeshi Saito,JP
fl:to_ln:shimizu-80,Toshihiro Shimizu,JP
fl:ka_ln:fujioka-12,Kazuyuki Fujioka,JP
fl:sa_ln:oya-1,Satoshi Oya,JP
fl:hi_ln:ozeki-4,Hiroyoshi Ozeki,JP
fl:hi_ln:kawate-1,Hiroyuki Kawate,JP
fl:ta_ln:ozawa-3,Takuma OZAWA,JP
fl:ma_ln:yamaguchi-23,Manabu Yamaguchi,JP
fl:ta_ln:mizutani-11,Tadahiro Mizutani,JP
fl:ki_ln:katsuki-1,Kiyoteru Katsuki,JP
fl:to_ln:mizuta-10,Tomohiro Mizuta,JP
fl:sh_ln:arthur-1,Shane E. Arthur,US
fl:my_ln:duncanson-1,Myles S. Duncanson,US
fl:ro_ln:palifka-1,Robert G. Palifka,US
fl:be_ln:moriarty-1,Bennett M. Moriarty,US
fl:ri_ln:baker-19,Richard Baker,US
fl:ta_ln:nakai-27,Takayuki Nakai,JP
fl:no_ln:okada-22,Noriaki Okada,JP
fl:to_ln:nakagawa-37,Tomohiro Nakagawa,JP
fl:hi_ln:kobayashi-111,Hikaru Kobayashi,JP
fl:da_ln:fujiwara-4,Daisuke Fujiwara,JP
fl:ma_ln:mcnestry-1,Martin McNestry,GB
fl:st_ln:buckby-1,Steven Buckby,GB
fl:ak_ln:katsumata-5,Akio Katsumata,JP
fl:ta_ln:sasaki-83,Taishi Sasaki,JP
fl:ta_ln:ohta-35,Takeomi Ohta,JP
fl:ak_ln:fujita-18,Akira Fujita,JP
fl:yo_ln:akao-1,Yoshihiko Akao,JP
fl:te_ln:kunifuji-1,Tetsuhiro Kunifuji,JP
fl:ke_ln:matsushime-1,Kenji MATSUSHIME,JP
fl:ch_ln:davis-74,Chad Davis,US
fl:br_ln:eppley-3,Bradley A. Eppley,US
fl:ri_ln:fotland-1,Richard A. Fotland,US
fl:om_ln:gila-1,Omer Gila,US
fl:na_ln:leoni-4,Napolean J. Leoni,US
fl:jo_ln:mcgrath-13,Joshua MCGRATH,US
fl:jo_ln:duffield-4,John Peter Duffield,US
fl:br_ln:klemann-1,Bruce Klemann,US
fl:te_ln:ohba-2,Tetsuya Ohba,JP
fl:te_ln:ishikawa-11,Tetsuhiro Ishikawa,JP
fl:su_ln:watanabe-10,Sumio Watanabe,JP
fl:ma_ln:tsuchiya-6,Masahiro Tsuchiya,JP
fl:yu_ln:mori-42,Yukihiro Mori,JP
fl:yu_ln:nagashima-11,Yuki Nagashima,JP
fl:ry_ln:kanda-4,Ryuichi Kanda,JP
fl:yu_ln:ikemoto-8,Yusuke Ikemoto,JP
fl:ta_ln:inaba-19,Takehiko Inaba,JP
fl:hi_ln:jo-4,Hidenori Jo,JP
fl:hi_ln:sanada-7,Hitoshi Sanada,JP
fl:m._ln:borrellbayona-1,M. Isabel Borrell Bayona,ES
fl:xa_ln:farinavargas-1,Xavier Farina Vargas,ES
fl:an_ln:martinezbarambio-2,Angel Martinez Barambio,ES
fl:ju_ln:oomura-2,Junpei OOMURA,JP
fl:mi_ln:oota-4,Mitsuhiro Oota,JP
fl:yu_ln:iwasaki-12,Yuki Iwasaki,JP
fl:la_ln:steinfeld-1,Laurie Steinfeld,US
fl:ke_ln:hirai-2,Kenji Hirai,JP
fl:ak_ln:ogino-6,Akihito Ogino,JP
fl:hi_ln:ohta-50,Hitoshi Ohta,JP
fl:di_ln:neuhaus-3,Dietmar Neuhaus,DE
fl:gu_ln:peleman-1,Guido Peleman,BE
fl:to_ln:pedersen-14,Tomas Pedersen,DK
fl:ta_ln:hoshino-33,Takanori Hoshino,JP
fl:jo_ln:maresh-3,Joseph D. Maresh,US
fl:is_ln:kuwayama-1,Isao Kuwayama,JP
fl:ko_ln:hasegawa-20,Kohei Hasegawa,JP
fl:ch_ln:gayton-1,Christophe Gayton,FR
fl:vi_ln:martin-7,Vincent Martin,FR
fl:ts_ln:fujioka-2,Tsuyoshi Fujioka,JP
fl:st_ln:oraison-1,Stéphane Oraison,FR
fl:ma_ln:vandaele-2,Matthieu Vandaele,FR
fl:be_ln:quantinet-1,Benjamin Quantinet,FR
fl:ke_ln:saeki-7,Kentaro Saeki,JP
fl:no_ln:yamamoto-24,Nobuyuki Yamamoto,JP
fl:na_ln:yukawa-1,Naoki Yukawa,JP
fl:ka_ln:sakakibara-16,Kazuhiro Sakakibara,JP
fl:ke_ln:lee-52,Keun Young Lee,KR
fl:sa_ln:kim-56,Sang Woo Kim,KR
fl:su_ln:kwak-14,Sung Soo Kwak,KR
fl:ta_ln:kim-53,Tae Yun Kim,KR
fl:ju_ln:lee-896,Ju-Hyuck Lee,KR
fl:wa_ln:seung-1,Wanchul Seung,KR
fl:fr_ln:darrer-1,Franz Michael Darrer,AT
fl:wa_ln:schuchter-1,Walter Schuchter,AT
fl:st_ln:monig-1,Stefan Mönig,DE
fl:ig_ln:gorenzweig-1,Igor Gorenzweig,DE
fl:da_ln:weston-7,David Alan Weston,US
fl:gi_ln:corghi-1,Giulio Corghi,IT
fl:st_ln:lambiris-1,Stephen M. Lambiris,US
fl:le_ln:sanford-1,Leo D. Sanford,US
fl:th_ln:brock-3,Thomas Brock,US
fl:ja_ln:nolte-2,Jason J. Nolte,US
fl:er_ln:tseng-2,Eric Hongtei Tseng,US
fl:li_ln:xu-87,Li Xu,US
fl:da_ln:hrovat-1,Davorin David Hrovat,US
fl:ma_ln:roessle-2,Matthew L. Roessle,US
fl:sc_ln:dunaway-1,Scott S. DUNAWAY,US
fl:da_ln:blankenship-2,David R. Blankenship,US
fl:ma_ln:schelosky-1,Matthew Schelosky,US
fl:je_ln:paenhuysen-1,Jeroen K. Paenhuysen,US
fl:ka_ln:kazmirski-1,Karl Kazmirski,US
fl:an_ln:barrow-2,Andrew Edward Barrow,US
fl:ja_ln:dilley-2,Jason Dilley,US
fl:ta_ln:yamashita-72,Takahisa Yamashita,JP
fl:mi_ln:furui-1,Mio Furui,JP
fl:ko_ln:komori-2,Kou Komori,JP
fl:ko_ln:fukawatase-1,Kohei Fukawatase,JP
fl:su_ln:matsumoto-2,Subaru Matsumoto,JP
fl:no_ln:miyamura-1,Norihiro Miyamura,JP
fl:hi_ln:hamamoto-8,Hiroshi Hamamoto,JP
fl:ka_ln:wakano-1,Katsuyoshi Wakano,JP
fl:yo_ln:otake-15,Yoshihiko Otake,JP
fl:at_ln:yamada-9,Atsushi Yamada,JP
fl:hi_ln:kobayashi-58,Hiroyuki Kobayashi,JP
fl:ad_ln:gilley-1,Adam Gilley,US
fl:se_ln:han-124,Seong Seok Han,KR
fl:so_ln:hong-11,Soon Rae Hong,KR
fl:yo_ln:kim-352,Yong Ho Kim,KR
fl:se_ln:yoon-45,Seo Jun Yoon,KR
fl:ja_ln:jeong-7,Jae Won Jeong,KR
fl:ta_ln:kameyama-10,Takashi Kameyama,JP
fl:ju_ln:makita-1,Jun Makita,JP
fl:li_ln:doan-2,Linh Doan,US
fl:de_ln:patel-27,Deepak Patel,US
fl:kr_ln:warmann-1,Kris Allyn Warmann,US
fl:li_ln:lu-132,Li Lu,US
fl:bh_ln:thota-1,Bhavani Thota,US
fl:st_ln:schmeichel-2,Steven C. Schmeichel,US
fl:ch_ln:schmeichel-1,Charles M. Schmeichel,US
fl:an_ln:rohr-5,Andrew N. Rohr,US
fl:aa_ln:yonts-1,Aaron N. Yonts,US
fl:pe_ln:ziemer-1,Peter Ziemer,DE
fl:ju_ln:pawlakowitsch-1,Juri Pawlakowitsch,DE
fl:hi_ln:sasaki-55,Hiroshi Sasaki,JP
fl:mi_ln:brock-1,Michael S. Brock,US
fl:ke_ln:young-28,Kevin L. Young,US
fl:da_ln:giles-6,David Giles,US
fl:ma_ln:morita-38,Makoto Morita,JP
fl:te_ln:takaishi-1,Tetsu Takaishi,JP
fl:at_ln:mori-10,Atsuhiro Mori,JP
fl:ka_ln:ogawa-58,Katsuyoshi Ogawa,JP
fl:sh_ln:mitsuishi-1,Shunichi Mitsuishi,JP
fl:br_ln:goethe-1,Bret Goethe,US
fl:ry_ln:furukawa-1,Ryuusuke Furukawa,JP
fl:ak_ln:kakudate-1,Akari Kakudate,JP
fl:da_ln:kobayashi-9,Daisuke Kobayashi,JP
fl:mu_ln:kikuchi-1,Muneomi Kikuchi,JP
fl:da_ln:fujii-8,Daisuke Fujii,JP
fl:ta_ln:inamori-4,Takuya Inamori,JP
fl:ma_ln:oberpriller-1,Mark Lee Oberpriller,US
fl:ti_ln:fitch-3,Timothy R. Fitch,US
fl:ni_ln:echkilev-1,Nikolaj Echkilev,DE
fl:xi_ln:wu-424,Xiao Qiang Wu,DE
fl:an_ln:wellner-1,Andreas Wellner,DE
fl:ta_ln:hori-29,Takaharu Hori,JP
fl:hi_ln:kawamori-5,Hiromitsu Kawamori,JP
