company_id,name
6a78a37f-23b8-469a-b1d6-698af50f766d,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN
03059fc6-184d-46da-bafa-c57c497e7d17,NEXION S.P.A.
f94290bc-7c0d-49af-9797-828af77eb9c7,GM GLOBAL TECHNOLOGY OPERATIONS LLC
8a03b7d9-0444-4dfc-9737-bf029c47a462,"FORD GLOBAL TECHNOLOGIES, LLC"
1f99e6e5-1de9-49ae-b056-ddd9612c0747,Tenneco Automotive Operating Company LLC
7fd570bb-8d88-4ad9-832b-532add7b7500,"HONDA MOTOR CO., LTD."
4779aa3b-357b-4969-8bde-d1227060304a,MAHLE FILTER SYSTEMS JAPAN CORPORATION
0bc189af-3eb0-4f95-9c77-b230b103c2cb,PANASONIC HOLDINGS CORPORATION
3603bc38-d35d-413a-b99d-007cfa49831b,JAPAN CLIMATE SYSTEMS CORPORATION
1d443c32-beaa-448d-b67c-2e60c804fd0a,DENSO CORPORATION
87a5b154-2721-40d4-ba53-0213a74e9b2d,"DENSO International America, Inc."
79e4fd67-e4fe-4c76-b62d-9a360beeceb1,Hanon Systems
e1184f58-2abf-4514-bc41-abe687741480,SHIROKI CORPORATION
d3c8a4a8-2c30-467e-ac35-41bdff21b4b8,"Agri-Cover, Inc."
f8408e94-960d-4f83-827e-deaa1d63d9d6,A.R.E. ACCESSORIES LLC
228e3d0e-4417-4f1a-95f4-7032ca4979cb,ZF Friedrichshafen AG
ab63516f-63bd-4d65-a440-0683deb6223a,NIFCO INC.
3fc185a1-f6a4-495d-90c1-7e61edd027f7,Stant USA Corp.
cb5367eb-ebac-459a-b013-d92860572522,"Nissan Motor Co., Ltd."
1647337d-4cd1-4e91-9167-aea8ba78dee6,KUBOTA CORPORATION
2576d873-c6b3-4109-948d-cc582495abb4,"Hand Held Products, Inc."
f68061b9-5827-43c8-8f62-33cae08b6d16,Siemens Aktiengesellschaft
87bbd77e-54e0-4d95-9c1b-7843963c09eb,TOYOTA JIDOSHA KABUSHIKI KAISHA
f2a26395-4a60-481e-8ba1-d8e39714ae3b,"Zoox, Inc."
2994b4fb-3c48-4a0f-88b7-08fdfcd4739a,"Hyundai Mobis Co., Ltd."
054151c1-dfc8-4b6a-b559-15e6d667e92b,"ADVANCED HIGH POWER MULTI (ACT/XE) SOURCE ENERGY SCIENCE-TECH CO., LTD."
3229dd75-9405-4047-afee-965c3bf05ce0,"Liberty PlugIns, Inc."
07e52f37-e09e-4e0f-a129-265b32c7eba2,XI'AN TGOOD INTELLIGENT CHARGING TECHNOLOGY CO. LTD
e8b67fe0-3270-4226-bfe1-37520a8b1ffa,Jaguar Land Rover Limited
f03635c8-6b6c-4f2b-bb6c-b52678f56aae,QUALCOMM Incorporated
2aa10b23-82f9-4c7a-bdf3-ad650ab22219,THE REGENTS OF THE UNIVERSITY OF MICHIGAN
3ddb14ba-a3c2-40bf-b430-8c39047a7205,Kia Motors Corporation
ea96c059-5267-4b52-ac70-4cd0915c519e,Hyundai Motor Company
3ea2dc97-f5aa-4931-a0d1-73f5370f56ce,SUBARU CORPORATION
bd1dc09e-e55d-4d1b-a297-f511767d5be6,MINETEC S.A.
565a44f1-a969-484b-8e86-0f4239f2f847,"MINATO SEIKI IRON WORKS CO., LTD."
3540c8a2-9758-4484-b21a-1fb0a0d19963,"KOITO MANUFACTURING CO., LTD."
66c4c20e-39aa-4e63-bfaa-0079f2b836b5,Valeo Vision
8221f7eb-ecf0-4dde-97e8-36912378bc43,"Advanced Sonic Alert Technologies, LLC"
cd318cdf-5adf-4eea-9308-d0b60f520ab9,Application Solutions (Electronics and Vision) Ltd.
a19c926f-cbe0-49cb-b208-3093b87853e7,"Magna Mirrors of America, Inc."
a56281a8-1c41-4480-b26a-6ed955d79aa2,Faraday & Future Inc.
2a0e2048-3b1c-414b-8f1e-82d7c22bf3cc,"JAC PRODUCTS, INC."
023f36b6-abbb-47f0-b2d3-55ed907227d2,Bendix Commercial Vehicle Systems LLC
20913463-3818-4a6f-a0cc-13b1f521e112,LIGHT WAVE TECHNOLOGY INC.
491ed4e9-453a-47a1-99c1-281da294ad84,RENAULT S.A.S.
5b9d262a-fd2c-4db6-a62d-96750ac9c9f7,CONTINENTAL AUTOMOTIVE GMBH
3837e75e-6c83-4c40-b1a9-8f9791f60e8d,Gestamp Hardtech AB
37c1ed9d-4dde-4045-8eab-583a112fcfbb,"TOYODA GOSEI CO., LTD."
191ae722-cdec-4e8f-86f4-55678ceaff11,JOYSON SAFETY SYSTEMS ACQUISITION LLC
a9fb0e97-631f-47e1-97a2-4d1dc139e34f,TAKATA CORPORATION
74c11be2-20ec-49fe-ac26-d839d375bd32,MITSUBISHI ELECTRIC CORPORATION
4063e1f8-22c6-44ca-96ce-67a6f439a148,TRW AUTOMOTIVE GMBH
2c48569d-7d8e-4c0a-9921-7c1b9c2003b5,TRW Polska SP.ZO.O
fdf798cb-8fb8-419f-b141-e7fde1150ac1,"SUMITOMO WIRING SYSTEMS, LTD."
77b0e539-7552-487c-8171-df9127f7fa66,"SUMITOMO ELECTRIC INDUSTRIES, LTD."
2bf3c48c-7d35-44c7-90a2-1cbc3a51d35b,"AUTONETWORKS TECHNOLOGIES, LTD."
91896e66-dfbb-4c89-8418-a0d710026e1c,HARRIS CORPORATION
1c631b96-8301-4819-bd8c-2e69e2ef6c76,Robert Bosch GmbH
