patent_id,title,year,inventor_name,country,company_name
RE50711,Encoding an information signal,2025,Manfred Lutzky,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50711,Encoding an information signal,2025,Manuel Jander,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50711,Encoding an information signal,2025,Markus Schnell,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50711,Encoding an information signal,2025,Michael Schuldt,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50710,Apparatus and method for generating a synthesis audio signal and for encoding an audio signal,2025,Jérémie Lecomte,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50710,Apparatus and method for generating a synthesis audio signal and for encoding an audio signal,2025,Julien Robilliard,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50710,Apparatus and method for generating a synthesis audio signal and for encoding an audio signal,2025,Markus Multrus,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50710,Apparatus and method for generating a synthesis audio signal and for encoding an audio signal,2025,Frederik Nagel,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50710,Apparatus and method for generating a synthesis audio signal and for encoding an audio signal,2025,Stefan Bayer,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50710,Apparatus and method for generating a synthesis audio signal and for encoding an audio signal,2025,Guillaume Fuchs,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50710,Apparatus and method for generating a synthesis audio signal and for encoding an audio signal,2025,Johannes Hilpert,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50709,Laundry treating apparatus,2025,Jiyoung Park,KR,LG ELECTRONICS INC.
RE50709,Laundry treating apparatus,2025,Jiyeon Min,KR,LG ELECTRONICS INC.
RE50709,Laundry treating apparatus,2025,Ayeong Lee,KR,LG ELECTRONICS INC.
RE50709,Laundry treating apparatus,2025,Sogkie Hong,KR,LG ELECTRONICS INC.
RE50708,Laundry treating apparatus,2025,Jaehoon Choi,KR,LG ELECTRONICS INC.
RE50708,Laundry treating apparatus,2025,Jungjin Park,KR,LG ELECTRONICS INC.
RE50708,Laundry treating apparatus,2025,Yongwoo Kwon,KR,LG ELECTRONICS INC.
RE50708,Laundry treating apparatus,2025,Kangwoon Cheon,KR,LG ELECTRONICS INC.
RE50708,Laundry treating apparatus,2025,Seungji Yong,KR,LG ELECTRONICS INC.
RE50707,Produce shipping container,2025,Donald E. Wilcox,US,"Arena Packaging, LLC"
RE50706,Safety restraint for break-away wheel assemblies,2025,William Evans Turner,US,"WheelSafe Technology, Inc."
RE50705,Combined bird feeder with camera,2025,ZhenXuan Guan,CN,
RE50704,Apparatus and method for signaling of message sequencing for fronthaul interface,2025,Sanil Rama Chandran,US,"SAMSUNG DISPLAY CO., LTD."
RE50703,Polymer composition,2025,Brian McMahon,GB,MITSUBISHI CHEMICAL UK LIMITED
RE50703,Polymer composition,2025,Paul Eustace,GB,MITSUBISHI CHEMICAL UK LIMITED
RE50701,Table tennis top and material,2025,Gaelan Mullins,US,
RE50700,Organic light emitting display device and method of manufacturing an organic light emitting display device,2025,Sun Kwang KIM,KR,"SAMSUNG DISPLAY CO., LTD."
RE50700,Organic light emitting display device and method of manufacturing an organic light emitting display device,2025,Bek Hyun LIM,KR,"SAMSUNG DISPLAY CO., LTD."
RE50700,Organic light emitting display device and method of manufacturing an organic light emitting display device,2025,Ki Nyeng KANG,KR,"SAMSUNG DISPLAY CO., LTD."
RE50700,Organic light emitting display device and method of manufacturing an organic light emitting display device,2025,Jin Koo Kang,KR,"SAMSUNG DISPLAY CO., LTD."
RE50699,Semiconductor devices having a gate isolation layer and methods of manufacturing the same,2025,Yong-Ho Jeon,KR,"SAMSUNG DISPLAY CO., LTD."
RE50699,Semiconductor devices having a gate isolation layer and methods of manufacturing the same,2025,Young Mook Oh,KR,"SAMSUNG DISPLAY CO., LTD."
RE50699,Semiconductor devices having a gate isolation layer and methods of manufacturing the same,2025,Sung Myung,KR,"SAMSUNG DISPLAY CO., LTD."
RE50699,Semiconductor devices having a gate isolation layer and methods of manufacturing the same,2025,Jung Hyun Kim,KR,"SAMSUNG DISPLAY CO., LTD."
RE50699,Semiconductor devices having a gate isolation layer and methods of manufacturing the same,2025,Dong-Seok Lee,KR,"SAMSUNG DISPLAY CO., LTD."
RE50698,"Motion vector calculation method, picture coding method, picture decoding method, motion vector calculation apparatus, and picture coding and decoding apparatus",2025,Takahiro NISHI,JP,SUN PATENT TRUST
RE50698,"Motion vector calculation method, picture coding method, picture decoding method, motion vector calculation apparatus, and picture coding and decoding apparatus",2025,Hisao Sasai,JP,SUN PATENT TRUST
RE50698,"Motion vector calculation method, picture coding method, picture decoding method, motion vector calculation apparatus, and picture coding and decoding apparatus",2025,Youji Shibahara,JP,SUN PATENT TRUST
RE50698,"Motion vector calculation method, picture coding method, picture decoding method, motion vector calculation apparatus, and picture coding and decoding apparatus",2025,Toshiyasu SUGIO,JP,SUN PATENT TRUST
RE50697,Concept for combining multiple parametrically coded audio sources,2025,Oliver Hellmuth,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50697,Concept for combining multiple parametrically coded audio sources,2025,Johannes Hilpert,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50697,Concept for combining multiple parametrically coded audio sources,2025,Thorsten Kastner,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50697,Concept for combining multiple parametrically coded audio sources,2025,Karsten Linzmeier,SE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50697,Concept for combining multiple parametrically coded audio sources,2025,Juergen Herre,DE,FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
RE50696,System and method for tracking web interactions with real time analytics,2025,Yizhar Ronen,IL,NICE LTD.
RE50696,System and method for tracking web interactions with real time analytics,2025,Igor Cher,IL,NICE LTD.
RE50696,System and method for tracking web interactions with real time analytics,2025,Hadas Liberman Ben-Ami,IL,NICE LTD.
RE50696,System and method for tracking web interactions with real time analytics,2025,Iftach Smith,IL,NICE LTD.
RE50696,System and method for tracking web interactions with real time analytics,2025,Yuval Marco,IL,NICE LTD.
RE50696,System and method for tracking web interactions with real time analytics,2025,Naama Damti,IL,NICE LTD.
RE50696,System and method for tracking web interactions with real time analytics,2025,Assaf Frenkel,IL,NICE LTD.
RE50696,System and method for tracking web interactions with real time analytics,2025,Yohay Etsion,IL,NICE LTD.
RE50696,System and method for tracking web interactions with real time analytics,2025,Uzi Baruch,IL,NICE LTD.
RE50696,System and method for tracking web interactions with real time analytics,2025,Yosef Golan,IL,NICE LTD.
RE50696,System and method for tracking web interactions with real time analytics,2025,Leon Portman,IL,NICE LTD.
RE50696,System and method for tracking web interactions with real time analytics,2025,Shlomi Haba,IL,NICE LTD.
